EbN0,BER,total error,total bits
-5.0,0.23271889400921658,101,434
-4.9,0.20910973084886128,101,483
-4.8,0.17857142857142858,100,560
-4.7,0.19960861056751467,102,511
-4.6,0.2012072434607646,100,497
-4.5,0.16051364365971107,100,623
-4.4,0.16169544740973313,103,637
-4.3,0.17857142857142858,100,560
-4.2,0.2304147465437788,100,434
-4.1,0.1721170395869191,100,581
-4.0,0.15360983102918588,100,651
-3.9,0.12755102040816327,100,784
-3.8,0.15022091310751104,102,679
-3.7,0.16912972085385877,103,609
-3.6,0.15338345864661654,102,665
-3.5,0.12987012987012986,100,770
-3.4,0.14285714285714285,101,707
-3.3,0.11904761904761904,100,840
-3.2,0.14285714285714285,100,700
-3.1,0.17857142857142858,100,560
-3.0,0.15698587127158556,100,637
-2.9,0.14427157001414428,102,707
-2.8,0.12895069532237674,102,791
-2.7,0.11074197120708748,100,903
-2.6,0.0992063492063492,100,1008
-2.5,0.10408163265306122,102,980
-2.4,0.11063372717508056,103,931
-2.3,0.12755102040816327,100,784
-2.2,0.07715813598166539,101,1309
-2.1,0.0835421888053467,100,1197
-2.0,0.08244897959183674,101,1225
-1.9,0.0673854447439353,100,1484
-1.8,0.07834101382488479,102,1302
-1.7,0.06770480704129993,100,1477
-1.6,0.08071025020177562,100,1239
-1.5,0.08340214698596202,101,1211
-1.4,0.0638432364096081,101,1582
-1.3,0.0576036866359447,100,1736
-1.2,0.061138014527845036,101,1652
-1.1,0.07037297677691766,100,1421
-1.0,0.05260443527591542,102,1939
-0.9,0.05748434832100171,101,1757
-0.8,0.045787545787545784,100,2184
-0.7,0.04958271968581247,101,2037
-0.6,0.04494882064975523,101,2247
-0.5,0.045351473922902494,100,2205
-0.4,0.04116920543433512,100,2429
-0.3,0.038272072754831375,101,2639
-0.2,0.04793863854266539,100,2086
-0.1,0.029266879165459288,101,3451
0.0,0.028130170987313845,102,3626
0.1,0.025106703489831784,100,3983
0.2,0.02107037505267594,100,4746
0.3,0.023426734037666513,102,4354
0.4,0.02880184331797235,100,3472
0.5,0.019489378288832588,100,5131
0.6,0.016539646505594294,102,6167
0.7,0.013970688946719628,102,7301
0.8,0.0148839924120823,102,6853
0.9,0.015751715533374924,101,6412
1.0,0.012631047113805735,100,7917
1.1,0.016470971950424004,101,6132
1.2,0.01188514944692869,101,8498
1.3,0.007850147676045392,101,12866
1.4,0.0069652434352580625,100,14357
1.5,0.009076057360682519,100,11018
1.6,0.008837408837408838,103,11655
1.7,0.006001901592583789,101,16828
1.8,0.006129384634057531,101,16478
1.9,0.004525900699050009,101,22316
2.0,0.0048782820794873024,102,20909
2.1,0.0039671519815924145,100,25207
2.2,0.003848645353046527,101,26243
2.3,0.0027477811667078835,100,36393
2.4,0.0023813453422299766,101,42413
2.5,0.0034792290028529678,100,28742
2.6,0.0022158700613796006,100,45129
2.7,0.0017135317603111774,100,58359
2.8,0.0013721750346474197,100,72877
2.9,0.001264558226583543,100,79079
3.0,0.0009408399819358723,100,106288
3.1,0.0009173386172037684,100,109011
3.2,0.0007353535947760481,100,135989
3.3,0.0007706594532941838,100,129759
3.4,0.000508370671996252,102,200641
3.5,0.0005318583129454314,100,188020
3.6,0.0002825751831842586,101,357427
3.7,0.00026414426503178977,100,378581
3.8,0.00031914112739794663,100,313341
3.9,0.00023548139461501146,100,424662
4.0,0.00022248772423981506,100,449463
4.1,0.00016646022335045264,102,612759
4.2,0.00015800358558631846,101,639226
4.3,0.00010714285714285714,75,700000
4.4,4.857142857142857e-05,34,700000
4.5,3.285714285714286e-05,23,700000
4.6,7.142857142857143e-05,50,700000
4.7,3.7142857142857143e-05,26,700000
4.8,3e-05,21,700000
4.9,2.1428571428571428e-05,15,700000
5.0,2.1428571428571428e-05,15,700000
5.1,1.7142857142857142e-05,12,700000
5.2,1.1428571428571429e-05,8,700000
5.3,1.8571428571428572e-05,13,700000
5.4,2.1428571428571428e-05,15,700000
5.5,4.2857142857142855e-06,3,700000
5.6,7.142857142857143e-06,5,700000
5.7,1.4285714285714286e-06,1,700000
5.8,4.2857142857142855e-06,3,700000
5.9,0.0,0,700000
6.0,0.0,0,700000
6.1,0.0,0,700000
6.2,0.0,0,700000
6.3,0.0,0,700000
6.4,4.2857142857142855e-06,3,700000
6.5,0.0,0,700000
6.6,4.2857142857142855e-06,3,700000
6.7,0.0,0,700000
6.8,0.0,0,700000
6.9,0.0,0,700000
7.0,0.0,0,700000
7.1,0.0,0,700000
7.2,0.0,0,700000
7.3,0.0,0,700000
7.4,0.0,0,700000
7.5,0.0,0,700000
7.6,0.0,0,700000
7.7,0.0,0,700000
7.8,0.0,0,700000
7.9,0.0,0,700000
8.0,0.0,0,700000
8.1,0.0,0,700000
8.2,0.0,0,700000
8.3,0.0,0,700000
8.4,0.0,0,700000
8.5,0.0,0,700000
8.6,0.0,0,700000
8.7,0.0,0,700000
8.8,0.0,0,700000
8.9,0.0,0,700000
9.0,0.0,0,700000
9.1,0.0,0,700000
9.2,0.0,0,700000
9.3,0.0,0,700000
9.4,0.0,0,700000
9.5,0.0,0,700000
9.6,0.0,0,700000
9.7,0.0,0,700000
9.8,0.0,0,700000
9.9,0.0,0,700000
10.0,0.0,0,700000
