EbN0,BER,total error,total bits
-10.0,0.32051282051282054,100,312
-9.5,0.376865671641791,101,268
-9.0,0.27472527472527475,100,364
-8.5,0.3333333333333333,100,300
-8.0,0.2808988764044944,100,356
-7.5,0.25510204081632654,100,392
-7.0,0.24752475247524752,100,404
-6.5,0.25252525252525254,100,396
-6.0,0.24278846153846154,101,416
-5.5,0.22321428571428573,100,448
-5.0,0.22321428571428573,100,448
-4.5,0.17006802721088435,100,588
-4.0,0.17123287671232876,100,584
-3.5,0.16778523489932887,100,596
-3.0,0.160828025477707,101,628
-2.5,0.1650326797385621,101,612
-2.0,0.12690355329949238,100,788
-1.5,0.11904761904761904,100,840
-1.0,0.10416666666666667,100,960
-0.5,0.07965299684542587,101,1268
0.0,0.07183908045977011,100,1392
0.5,0.06493506493506493,100,1540
1.0,0.054466230936819175,100,1836
1.5,0.05458515283842795,100,1832
2.0,0.03324468085106383,100,3008
2.5,0.02696871628910464,100,3708
3.0,0.02055921052631579,100,4864
3.5,0.015451174289245983,100,6472
4.0,0.012013455069678039,100,8324
4.5,0.008468834688346883,100,11808
5.0,0.006275100401606426,100,15936
5.5,0.0032,64,20000
6.0,0.003,60,20000
6.5,0.0012,24,20000
7.0,0.00085,17,20000
7.5,0.00055,11,20000
8.0,0.00025,5,20000
8.5,5e-05,1,20000
9.0,0.0,0,20000
9.5,5e-05,1,20000
10.0,0.0,0,20000
