EbN0,BER,total error,total bits
-10.0,0.30833333333333335,111,360
-9.5,0.2972222222222222,107,360
-9.0,0.28888888888888886,104,360
-8.5,0.2833333333333333,102,360
-8.0,0.26262626262626265,104,396
-7.5,0.28888888888888886,104,360
-7.0,0.2777777777777778,100,360
-6.5,0.25,108,432
-6.0,0.24074074074074073,104,432
-5.5,0.2264957264957265,106,468
-5.0,0.21367521367521367,100,468
-4.5,0.20634920634920634,104,504
-4.0,0.19814814814814816,107,540
-3.5,0.19444444444444445,105,540
-3.0,0.17881944444444445,103,576
-2.5,0.1388888888888889,105,756
-2.0,0.14166666666666666,102,720
-1.5,0.15895061728395063,103,648
-1.0,0.10683760683760683,100,936
-0.5,0.10390946502057613,101,972
0.0,0.12037037037037036,104,864
0.5,0.07507507507507508,100,1332
1.0,0.04980842911877394,104,2088
1.5,0.052525252525252523,104,1980
2.0,0.026455026455026454,100,3780
2.5,0.028311965811965812,106,3744
3.0,0.013957987838584854,101,7236
3.5,0.004667764964305327,102,21852
4.0,0.0033965563626580575,101,29736
4.5,0.0007222222222222222,26,36000
5.0,0.0003611111111111111,13,36000
5.5,8.333333333333333e-05,3,36000
6.0,0.0,0,36000
6.5,0.0,0,36000
7.0,0.0,0,36000
7.5,0.0,0,36000
8.0,0.0,0,36000
8.5,0.0,0,36000
9.0,0.0,0,36000
9.5,0.0,0,36000
10.0,0.0,0,36000
